Title,Link,Image,Description,Comments,Game Mode,Game Language,Game Genre,Max Players,Single Player
 Victoria 3 играть по сети и интернету Онлайн,https://freetp.org/po-seti/5252-victoria-3-po-seti-i-internetu-besplatno.html,/uploads/posts/2022-10/thumbs/1666717315_victoria-lll.jpeg,"Victoria 3 - это продолжение увлекательной саги с элементами жанра стратегии, где вам нужно создать идеальное общество. События игры переносят нас на просторы мира, существовавшего во времена промышленной революции, то есть с девятнадцатого по конец двадцатого века. Мир менялся быстрыми темпами, и поэтому центральный персонаж решил создать свое собственное общество, полностью развитое и многофункциональное. В игре важно подключить навыки стратегического планирования действий, что позволит вам точно выполнить свой план, допустив небольшое количество ошибок. Главная цель - процветающее государство, но для этого потребуется сделать его жителей счастливыми, уделять внимание потребностям и создавать все условия для максимально комфортной жизни. С точки зрения визуального исполнения, игра хорошо продумана и позволит каждому стать частью этого необычного мира прошлого.Способ по которому можно поиграть: Интернет.",26,Интернет.,Русский текст.,Жанр не указан,8.,Есть.
 My Garage играть по сети и интернету Онлайн,https://freetp.org/po-seti/5392-my-garage-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2023-06/thumbs/1686313250_my-garage.jpg,"My Garage – захватывающий мир автомобилей, где ваше воображение становится реальностью. Воплотите свои мечты об идеальных автомобилях, создавая и модифицируя их с помощью огромного выбора запчастей и кастомизаций. Играйте вместе с друзьями в кооперативном режиме, объединяйте свои навыки и соревнуйтесь в захватывающих гонках и испытаниях. Станьте главным автомобильным магнатом, проявите свою экспертность и превратите свой гараж в настоящий рай для автолюбителей. Добро пожаловать в My Garage – ваше автомобильное приключение начинается здесь!Способ по которому можно поиграть: Steam (по коду).",1,Steam (по коду).,Русский текст.,"Инди, Гонки, Симуляторы.",20.,Информация об одиночной игре не указана
 Kingdoms Reborn играть по сети и интернету Онлайн,https://freetp.org/po-seti/5229-kingdoms-reborn-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2022-08/thumbs/1661961392_kingdoms-reborn.jpg,"Kingdoms Reborn - это захватывающая игра о строительстве городов, которая включает в себя множество возможностей для игрока, а также открытый мир для завоевания. Особенностью игры является сразу заметное наличие мультиплеера, который позволит вам отлично провести время с друзьями и игроками со всего мира. Вам предстоит взять на себя роль главного героя - вождя народа, который попытается создать и тщательно развивать собственное поселение на просторах безжизненной пустыни. Задача непростая, потому что на ваших плечах лежит ответственность за каждый аспект деятельности. Отправляйтесь исследовать окружающую среду, добывайте ценные ресурсы и полезные предметы, которыми в будущем вам нужно научиться правильно распоряжаться, чтобы не понести потерь. По мере вашего прогресса ваше творение будет постоянно развиваться, открывать новые технологии и находить способы взаимодействия с другими, более могущественными государствами. Препятствий на пути более чем достаточно, а также будут предательства и заговоры, так что всегда будьте начеку. Врагов тоже хватает, и каждый из них готов сделать все, чтобы уничтожить вас, чего вы не должны допустить, чтобы они построили самое могущественное и непобедимое государство в мире.  Способ по которому можно поиграть: Steam.",21,Steam.,Русский текст.,"Инди, Симуляторы, Стратегии, Совместное прохождение.",12.,Информация об одиночной игре не указана
" Warhammer 40,000: Darktide играть по сети и интернету Онлайн",https://freetp.org/po-seti/5276-warhammer-40000-darktide-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2022-12/thumbs/1669898269_warhammer-darktide-40k.jpg,"Сражайтесь за город Терциум от орд кровожадных врагов с помощью интенсивного и жестокого шутера. Warhammer 40,000: Darktide - это новая кооперативная игра от отмеченной наградами команды, создавшей серию Vermintide. В глубинах Улья прорастает семя разложения, которое грозит превратиться в волну тьмы, которая поглотит все. Новая зловещая и таинственная сила стремится захватить город. Вам и вашим союзникам из инквизиции придется уничтожить вражеские силы, иначе город падет жертвой хаоса.",191,Интернет.,Русский текст.,"Экшены, Приключенческие игры, Инди, Совместное прохождение.",4.,Информация об одиночной игре не указана
 Bloons TD 6 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4607-bloons-td-6-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-01/thumbs/1610804169_bloons-td-6.jpg,"Bloons TD 6 по сети и онлайн доступна бесплатно в известном Вам жанре Tower Defense. Каждый из пользователей с самого начала должен быть уверен в том, что его ждут невероятные приключения с увлекательными приключениями и классными событиями. В вашем распоряжении отряд обезьян, которые действуют исключительно по той тактике, которую Вы предпочитаете. Выстраивайте защиту собственной башни как можно лучше и добейтесь того, чтобы Ваши враги пали значительно быстрее, чем непосредственно Вы.  Способ по которому можно поиграть: Интернет.",52,Интернет (Steam).,Русский текст +,"Стратегии, Совместное Прохождение,",2-3-4.,Есть.
 Floor44 играть по сети и интернету Онлайн,https://freetp.org/po-seti/5342-floor44-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2023-03/thumbs/1678445757_floor44.jpg,"Floor44 - это жесткая игра-тест на удачу с процедурно генерируемыми картами. Цель игры заключается в том, чтобы достичь вершины - 44-го этажа. Для того, чтобы добраться до 30-го этажа, можно полагаться только на свои навыки, но для прохождения игры до конца нужно будет использовать не только свои способности, но и удачу. Каждый этаж генерируется случайным образом, что означает, что игрок должен быть готов ко всему, что может случиться на его пути. На каждом этаже игрок должен искать выход, преодолевая различные препятствия, такие как ловушки и враги. Кроме того, игрок может встретить различные бонусы, которые помогут ему пройти уровень.Способ по которому можно поиграть: Steam (по приглашению).",17,Steam (по приглашению).,Русский текст.,"Экшены, Приключенческие игры, Инди, Ролевые игры.",5.,Информация об одиночной игре не указана
 American Truck Simulator играть по сети и интернету Онлайн,https://freetp.org/po-seti/4783-american-truck-simulator-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2021-05/thumbs/1622222013_american-truck-simulator.jpg,"Кто-нибудь хочет стать профессиональным дальнобойщиком, ездить по городам, открывать для себя новые места, знакомиться с молоденькими девицами на заправках, откладывать в своей памяти истории, которыми поддержать беседу? На самом деле быть дальнобойщиком не настолько красочно, как кажется на первый взгляд..",51,Steam.,Русский текст.,"Инди, Симуляторы, Гонки, Совместное Прохождение.",8.,Доступна.
 Empyrion: Galactic Survival играть по сети и интернету Лан,https://freetp.org/po-seti/1903-empyrion-galactic-survival-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2015-08/thumbs/1439909309_empyrion-galactic-survival.jpg,"Эмпирион совместил в себя строительную и стратегическую игру в космосе, при этом оставив место для режимов выживания и прохождения...",78,Способ игры не указан,Русский текст.,Жанр не указан,Максимальное количество игроков не указано,Присутствует.
 FOREWARNED играть по сети и интернету Онлайн,https://freetp.org/po-seti/4909-forewarned-po-seti-besplatno-onlayn-.html,/uploads/posts/2021-09/thumbs/1631720961_forewarned.jpg,"FOREWARNED - отличный аналог Phasmophobia, действия которого происходят в древнеегипетских храмах и различных архитектурных памятниках пустыни Сахара. Отправляйтесь с друзьями, для игры по сети, изучайте лабиринты и всевозможные загадки и тайны, покрытые мраком...",37,Интернет.,Русский Текст.,"Экшены, Приключенческие игры, совместное прохождение.",4.,Доступна.
 ArcRunner играть по сети и интернету Онлайн,https://freetp.org/po-seti/5390-arcrunner-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2023-06/thumbs/1686064363_arcrunner.jpg,"ArcRunner: уникальная космическая экшн-игра в стиле киберпанк ArcRunner - игра, в которой вы станете частью мира будущего. Погрузитесь в захватывающее путешествие по космической станции, где каждое ваше решение имеет значение. Вас ожидают преграды, опасности и непредсказуемые события. Создайте собственного кибер-персонажа с уникальной внешностью и характеристиками. Улучшайте его навыки и силу, чтобы противостоять роботизированным врагам. Погрузитесь в трехмерный мир с потрясающей графикой, увлекательными локациями и крутыми визуальными эффектами. Вас ждет уникальный сюжет, где каждое ваше действие имеет последствия. Начните своё приключение с ArcRunner уже сейчас!",1,Онлайн (По приглашению в Epic Games).,Русский Текст.,"Совместное Прохождение, Экшены, Инди.",3.,Присутствует.
 Brothers - A Tale of Two Sons играть по сети и интернету Онлайн,https://freetp.org/po-seti/5391-brothers-a-tale-of-two-sons-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2023-06/thumbs/1686061112_brothers-a-take-of-two-sons.jpeg,"Brothers - A Tale of Two Sons - уникальная кооперативная игра, которая погружает вас в магический фэнтезийный мир. Вы и ваш партнер контролируете старшего и младшего братьев, путешествуя через впечатляющие ландшафты, решая головоломки и преодолевая опасности. Исследуйте красивые локации, встречайте интересных персонажей и погрузитесь в глубокую историю о семейных узах и сотрудничестве.",0,Steam Remote Play.,Русский Текст.,"Экшены, Приключенческие игры, Инди, Совместное Прохождение, Сплит Скрин.",2 (клавиатура / джойстик).,возможна
 A Day Out играть по сети и интернету Онлайн / Лан,https://freetp.org/po-seti/5389-a-day-out-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2023-06/thumbs/1686049481_a-day-out.jpeg,"В разных уголках планеты происходят ужасные преступления, сопровождающиеся несчастными смертями и беглыми злодеями. Все указывает на причастность сверхъестественных сил, и поэтому команда отважных охотников за монстрами принимает дело на себя. Совместный геймплей совмещает роли детектива и охотника, и игрокам предстоит провести расследование и привести преступника к справедливости. В начале игры участники тщательно исследуют место преступления, разыскивая ключевые улики, а затем направляют все свои усилия на выслеживание криптоида — таинственного монстра, которого нужно поймать и привлечь к ответственности. Эти мутанты обладают огромной силой, поэтому для успешного захвата им потребуется арсенал ловушек.",1,Steam / Локальная Сеть.,Английский.,"Экшены, Приключенческие игры, Инди, Совместное Прохождение.",4.,Информация об одиночной игре не указана
 Pawperty Damage играть по сети и интернету Онлайн,https://freetp.org/po-seti/5388-pawperty-damage-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2023-06/thumbs/1685961069_pawperty-damage.jpg,"Разрушайте, пинайте, топчите и глотайте всё на своём пути в полностью разрушаемом городе! Отдайтесь этой катарсической экшен-песочнице, будь то в одиночку или в местном многопользовательском режиме разделенного экрана.",1,Steam Remote Play.,Английский Текст.,"Экшены, Приключенческие игры, Совместное Прохождение, Сплит Скрин.","4 (1 с клавы, остальные с джойстиков).",возможна
 Remnant: From the Ashes играть по сети и интернету Онлайн,https://freetp.org/po-seti/3534-remnant-from-the-ashes-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2019-08/thumbs/1566140671_remnant-from-the-ashes.jpg,"Remnant: From the Ashes - Сурвайвал шутер от 3 лица, мир захватили монстры и Вы один из не многих оставшихся в живых! Огромное количество врагов, мощные боссы, которых сможете победить как в одиночку, так и в совместном (кооп) режиме с друзьями!",180,Интернет (Epic Games).,"Русский Текст, Озвучка, Субтитры.","от третьего лица, Экшены, Приключенческие игры, Ролевые игры,Совместное Прохождение.",3.,Доступна.
 Teenage Mutant Ninja Turtles - Shredder's Revenge играть по сети и интернету Онлайн,https://freetp.org/po-seti/5161-tmnt-shredders-revenge-igra-po-seti-i-internetu-onlayn-.html,/uploads/posts/2022-06/thumbs/1655491970_teenage-mutant-ninja-turtles-shredders-revenge.jpg,"Черепашки-ниндзя: Месть Шреддера (Teenage Mutant Ninja Turtles: Shredder's Revenge) — игровая вселенная черепашек-ниндзя, в которой мы становимся частью войны против главного противника — Шреддера. Первым делом стоит сделать выбор между главными героями, каждый из которых уникален и обладает индивидуальными навыками. Как только дело будет сделано, смело отправляйтесь на сопротивление, сражайтесь с большим количеством противников, проходите испытания, раскрывайте темные тайны и пробуйте все, чтобы искоренить зло. Игра приготовила множество неожиданных поворотов событий, а также схватки с могущественными боссами, испытания и задания, которые будет непросто выполнить. Исследуйте множество локаций, добывайте ценные ресурсы и необходимые подсказки, пополняйте свой боевой арсенал мощным оружием и уничтожайте вражескую армию. Развивайте свои боевые навыки, чтобы пройти все локации и уничтожить крошшер раз и навсегда. Графика выполнена в простом 2D-стиле и погрузит нас в атмосферу старых консольных игр.",42,Steam + Epic Games.,Английский текст + Русский текст (русификатор).,"Экшены, Приключенческие игры, Казуальные игры, Инди, Совместное прохождение.",6.,Информация об одиночной игре не указана
 Subsistence играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/4481-subsistence-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2020-10/thumbs/1602008811_header-56.jpg,"Subsistence - новая игра в мире песочниц. Здесь тебя ждёт огромный открытый мир, где у тебя будет полно возможностей.  Способ по которому можно поиграть: Интернет (Стим) или Локальная Сеть (Radmin VPN).",44,Интернет (Steam). Количество игроков,Русский текст + Одиночная игра,"Экшены, От Первого Лица, Совместное Прохождение,",Интернет (Steam). Количество игроков,Русский текст + Одиночная игра
 Stationeers играть по сети и интернету Онлайн,https://freetp.org/po-seti/2748-stationeers-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2018-02/thumbs/1519661927_stationeers.jpg,"Stationeers - кооперативный космоконструктор с большим количеством возможностей. Вы - работник космической станции, который должен следить за её работоспособностью, думаю, вполне не плохо, если есть желание в будущем попасть туда в реале )). Игра очень хорошо оптимизирована и обладает хорошей физикой, к тому же привлекательный размер позволит, как можно быстрей, насладиться ей.",78,Интернет.,Русский Текст и Английская Озвучка.,"Экшены, Инди, Симуляторы, Совместное прохождение.",10.,Доступна.
 Vintage Story Играть по сети и интернету Онлайн,https://freetp.org/po-seti/4471-vintage-story-igrat-po-seti-i-internetu-onlayn-full.html,/uploads/posts/2020-09/thumbs/1600947872_vintage-story.jpg,"Начните с пустыми руками и научитесь выживать, добывая пищу, охотясь, создавая и сражаясь. Войдите в каменный век, выбивая примитивные каменные орудия и лепя глину для изготовления глиняных изделий. Продвигайтесь дальше, выплавляя медь для получения более мощных инструментов, создавая бронзовые сплавы, обучаясь обработке железа и, в конечном итоге, механизируя общие задачи.Способ по которому можно поиграть: Интернет.",214,Способ игры не указан,Русский текст.,"Экшены, Приключенческие игры, Инди, Совместное прохождение.",128.,Есть.
 Arctico (Eternal Winter) играть по сети и интернету Онлайн,https://freetp.org/po-seti/2239-eternal-winter-igra-po-seti-besplatno-onlayn-lan.html,/uploads/posts/2017-01/thumbs/1484205418_eternal-winter.jpg,"Вы должны обустроить свой посёлок, охотиться и создавать новые здания для выживания. Каждые 5 дней начинается сильный шторм, который наносит вашим зданиям урон.",26,Интернет (По ID Игры).,Английский текст.,"Экшены, Приключенческие игры, Совместное прохождение.",4,Информация об одиночной игре не указана
 Myth играть по сети и интернету Онлайн / Лан,https://freetp.org/po-seti/5385-myth-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2023-06/thumbs/1685772797_myth.jpg,"Myth - это многопользовательская головоломка в жанре хоррор, которая обещает уникальные ощущения и незабываемый опыт в компании друзей. А почему голова может болеть, спросите вы? Дело в том, что головоломки настолько сложны и запутанны, что с ними лучше получить в подарок бутылку аспирина!",4,Steam / Локальная Сеть.,Английский / Тайский.,"Экшены, Приключенческие игры, Совместное Прохождение.",4.,Доступна.
 Jianghu Survivor играть по сети и интернету Онлайн / Лан,https://freetp.org/po-seti/5351-jianghu-survivor-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2023-03/thumbs/1679213746_jianghu-survivor.jpg,"Jianghu Survivor - это захватывающая кооперативная игра, которая позволяет игрокам отправиться в удивительное путешествие по древнему Китаю. Вы воплотите в себе героя, который должен выжить в этом опасном и жестоком мире. Вам предстоит бороться с могущественными врагами, сражаться с боссами и разгадывать загадки, чтобы пройти сквозь каждый уровень.",11,Steam / Локальная Сеть.,Русский текст.,"Экшены, Приключенческие игры, Казуальные игры, Инди, Ролевые игры, Стратегии, Совместное Прохождение.",4.,Доступна.
 Stellaris играть по сети и интернету Онлайн,https://freetp.org/po-seti/2075-stellaris-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2016-05/thumbs/1463234963_stellaris.jpg,"Stellaris - игра от разработчиков игр серии Crusader Kings и Europa Universalis, про исследование безграничного космоса, с возможностью сетевой игры. ",245,Интернет.,Русский.,"Симуляторы, Стратегии, Космос.",10,Информация об одиночной игре не указана
 Stormworks Build and Rescue играть по сети и интернету Онлайн,https://freetp.org/po-seti/3671-stormworks-build-and-rescue-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2019-09/thumbs/1568959632_stormworks-build-and-rescue.jpg,"Stormworks Build and Rescue - спасательный симулятор, с красочной графикой и увлекательными приключениями! Создавайте собственные корабли и отправляйтесь на помощь попавшим в беду!",196,Steam.,"Русский текст, Субтитры.","Симуляторы, Совместное Прохождение.",32 - кооператив.,Доступна.
 V Rising играть по сети и интернету Лан,https://freetp.org/po-seti/5154-v-rising-po-seti-i-internetu-lan.html,/uploads/posts/2022-06/thumbs/1654613587_nova-filepond-pjkuly.jpg,"Уникальный в своем исполнении мир V Rising успешен в своем жанре ММО. Вам придется отправиться в мрачный, но довольно интересный мир фэнтези. Атмосфера средневековья расскрасится еще и тем, что Вы станете тем самым вампиром, который вдруг очнулся после векового сна. Главная задача Вас, как кровопийцы, восстановить некогда пропавшую и увядшую империю вампировов, но сделать это не так просто. Отправляйтесь в разные локации, сопоставьте все недостающие паззлы и попробуйте себя в роли вождя вампирской империи!",47,LAN (RadminVPN).,Русский текст.,"Экшены, Приключенческие игры, Многопользовательские игры, Совместное прохождение.",3 x 20.,Информация об одиночной игре не указана
 Sons of the Forest играть по сети и интернету Онлайн / Лан,https://freetp.org/po-seti/5328-sons-of-the-forest-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2023-02/thumbs/1677190150_sons-of-the-forest.jpg,"Sons Of The Forest - это сиквел популярного симулятора выживания The Forest, где главный герой оказался на жутком острове, после авиакатастрофы и оказался в окружении дикого племени. В новой части игры нам предстоит отправиться на не менее опасный остров в поисках пропавшего миллиардера, который неосторожно приземлился на берег. Как обычно, поиски превратятся в настоящий кошмар, и группе героев придется бороться за выживание, избегая нападений каннибалов и пытаясь преодолеть все препятствия на пути к спасению.",242,Steam.,Русский текст.,"Экшены, Приключенческие игры, Инди, Симуляторы, Совместное Прохождение.",8.,Доступна.
 Gunfire Reborn играть по сети и интернету Онлайн / Лан,https://freetp.org/po-seti/4301-gunfire-reborn-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-05/thumbs/1590913107_gunfire-reborn.jpg,"Gunfire Reborn - экшен РПГ приключение с очень активной и красочной обстановкой, системой прокачки и сбора новых вещей. Вы с 3мя друзьями отправляетесь с заданием, что самому будет сделать сложно. Поэтому объединяейтесь в игре Gunfire Reborn по сети и играйте в кооператив. Большое количество карт, крутые боссы с их уникальной анимацией, в общем.. игра несомненно стоит внимания!!",174,Steam / Локальная Сеть.,Русский текст.,"Экшены, Приключенческие игры, Инди, Ролевые игры, Совместное Прохождение.",4.,Информация об одиночной игре не указана
 Valheim играть по сети и интернету Онлайн / Лан,https://freetp.org/po-seti/4638-valheim-po-seti-igrati-besplatno-v216.8.html,/uploads/posts/2021-02/thumbs/1612551298_valheim.jpg,Valheim - экшен-приключение в красочном мире крафта и квестов. Попав в фантастический мир вы должны покорить его и заслужить уважение у Богов!,550,Интернет (Стим) / Локальная Сеть (Эмулятор Локальной сети).,Русский текст.,"Экшены, Приключенческие игры, Инди, Ролевые игры, Совместное прохождение.",10.,Доступна.
 Goat Simulator 3 играть по сети и интернету Онлайн,https://freetp.org/po-seti/5386-goat-simulator-3-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2023-05/thumbs/1685177533_goat-simulator-3.jpg,"Добро пожаловать в мир безудержного безумия и смеха в Goat Simulator 3! В этой уникальной мультиплеерной игре вы станете безумно смешной козой, которая может выполнять невероятные трюки, превращаться в мутанта и распугивать всех вокруг. Вас ждут захватывающие приключения в открытом мире, с множеством миссий и тайн. Разрушайте окружающую среду, исследуйте разнообразные локации и создавайте хаос, вызывая улыбки и смех. Улучшайте навыки своей козы, открывайте новые костюмы и играйте с друзьями, чтобы стать самой безумной и забавной козой в игровом мире. Goat Simulator 3 — это непредсказуемая и захватывающая игра, которая превратит вас в настоящего козлиного героя! Самое интересное, что Goat Simulator 3 доступен для игры по сети или в онлайне вместе с друзьями бесплатно.",4,Онлайн (По приглашению в Epic Games).,Русский Текст.,"Совместное Прохождение, Экшены, Ролевые игры, Приключенческие игры.",4,Присутствует.
 Crusader Kings III играть по сети и интернету Онлайн,https://freetp.org/po-seti/4430-crusader-kings-iii-po-seti-i-internetu-besplatno.html,/uploads/posts/2020-09/thumbs/1599060752_header.jpg,Crusader Kings III - станет полноправной наследницей долгой традиции наших исторических стратегий: игроков ждет множество новых способов обеспечить процветание своему роду.Способ по которому можно поиграть: Интернет.,121,Интернет.,Русский текст.,Жанр не указан,8,Есть.
 Mad Games Tycoon 2 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4624-mad-games-tycoon-2-igra-po-seti-besplatno-onlayn-lan.html,/uploads/posts/2021-01/thumbs/1611841482_mad-games-tycoon-2.jpg,"Mad Games Tycoon 2 - новая часть, очень полюбившейся игры. Вы - главный герой, который должен заниматься бизнесом и всячески улучшать его и повышать свой уровень.",69,Steam (по приглашению).,Русский.,"Казуальные игры, Инди, Симуляторы, Стратегии, Совместное Прохождение.",4.,Информация об одиночной игре не указана
 Dying Light 2: Stay Human играть по сети и интернету Онлайн,https://freetp.org/po-seti/5194-dying-light-2-stay-human-igra-po-seti-i-internetu-lan-online-full-.html,/uploads/posts/2022-08/thumbs/1659695816_dying-light-2-2.jpg,"Более двадцати лет назад мы пытались бороться с этим вирусом в Харране... и потерпели неудачу. Теперь мы снова проигрываем. Город — последнее из великих человеческих поселений — раздирают внутренние раздоры. Цивилизация погрузилась во тьму Средневековья, но надежда еще жива. Способ по которому можно поиграть: Steam + Epic Games.",426,Steam + Epic Games.,Полностью Русский / Полностью Английский.,"Экшены, Приключенческие игры, Ролевые игры, Совместное прохождение.",4.,Информация об одиночной игре не указана
 Craftopia играть по сети и интернету ЛАН,https://freetp.org/po-seti/4469-craftopia-po-seti-igra-besplatno.html,/uploads/posts/2020-09/thumbs/1600717204_craftopia.jpg,"Craftopia - затягивающая игра про крафт с огромным открытым миром, увлекательными приключениями и достойной графикой.",42,LAN.,Английский.,"Экшены, Приключенческие игры, Инди, Ролевые игры, Совместное прохождение.",4.,Доступна.
 VOIDTRAIN играть по сети и интернету Онлайн,https://freetp.org/po-seti/4894-voidtrain-igra-po-seti-i-internetu-onlayn-lan.html,/uploads/posts/2021-08/thumbs/1630049982_voidtrain.jpg,"Игровой проект Voidtrain - это настоящий экшен с достаточно динамичным и непростым геймплеем. Вы - механик, чья задача - это управление поездом, который перемещается не по рельсам, а меж пространством. На вашем пути найдется множество приключений, различных неизвестных ранее миров и опасностей. Каждый мир, где Вы побываете, оставит о себе незабываемое впечатление и будет максимально отличаться от другого. Просто начни заниматься исследованиями, чтобы найти еще больше полезной информации и ценных ресурсов по сети или интернету в онлайн Voidtrain.",126,Интернет (Подключение по коду).,Полностью Русский.,"Экшены, Инди, Симуляторы, Совместное прохождение.",4,Присутствует.
 SCP: Pandemic играть по сети и интернету Онлайн,https://freetp.org/po-seti/5086-scp-pandemic-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2022-04/thumbs/1649696800_pandemic-scp.jpg,"SCP Pandemic — это игровой проект, разработанный в жанре экшн-шутера, в котором мы отправляемся в череду опасных приключений и пытаемся выполнить важную миссию. Главный герой — член спецподразделения, которому необходимо отправиться на территорию исследовательского центра и попытаться выяснить, что произошло. Дело в том, что в этом месте долгое время проводились всевозможные испытания на людях, что привело к ужасным последствиям. Все, кто экспериментировал, превратились в жутких и бездушных зомби, которым удалось сбежать из лабораторий. Главной задачей главного героя является полное уничтожение соперника, но выполнить это будет не так просто. Исследуйте местность, добывайте ценные ресурсы и подсказки, которые помогут вам раскрыть тайну происходящего. Развивайте свои навыки и пополняйте свой арсенал мощным оружием, чтобы сразиться со всеми, даже с самыми сильными врагами. Проявите свою смекалку и стратегическое мышление, чтобы как можно быстрее избавиться от противника и спасти мир от полного уничтожения.",27,Стим по приглашению.,Русский.,"Экшены, Инди, Совместное прохождение.",2-14.,Информация об одиночной игре не указана
